Date,Exp_oil,Exp_food,Exp_cotton,Exp_chemical,Exp_electric,Exp_metel,Exp_vehicles,Imp_oil,Imp_food,Imp_cotton,Imp_chemical,Imp_electric,Imp_metel,Imp_vehicles,Totel_External_Debt,Net_Domestic_Debt,Government_Deposits,Net_Foreign,GDP_mp
30/09/2005,2137.8,142.6,236.8,172.8,123.1,328.8,32.7,1152.8,758.3,184.9,473.8,429.9,568.6,321.5,29674.4,355094,85937,1947,153.5
31/12/2005,2594.2,136.6,226.6,144.7,33.5,318.4,50.1,1406,736.1,194.2,456,393.6,531.2,347.4,29691.6,357643,86364,1366.2,147.4
31/03/2006,2707.6,143.4,287.8,155.4,108.9,371.8,34.3,1189.1,723.2,208.2,365.9,371.2,444.1,427.4,28938.6,374034,86752,1318.3,153.3
30/06/2006,2782.8,164.7,266.2,224.2,60.3,453.8,44.5,1611.3,733.6,205.7,540.1,480,680.3,552.8,29592.6,387719,82135,1479.9,163.5
30/09/2006,2512.5,177.1,265.8,288.3,96.8,728.5,35.9,1396.4,973.2,257.4,552.7,472,783.6,431.5,28950.9,446634,83403,3237.1,185.9
31/12/2006,2544,163.6,231.3,200.7,142.6,505.5,80.6,667.1,991.4,255.8,589.3,481.6,698.2,427.9,28957.7,453411,72084,4007.5,183.1
31/03/2007,2269.9,278,334.6,292.7,123,590.2,100.8,796.1,1117.7,257.5,768,509.8,810.9,430.2,28743.5,468327,65533,1800.7,183.4
30/06/2007,2781.5,325.6,356.9,363.5,272.7,669.2,154.2,1268.3,1070.8,295.2,967.9,856.3,1168.9,782.1,29898,478173,76902,2007.9,192.4
30/09/2007,2522.9,302.3,307.7,428.9,189.7,634,256.3,1808.7,1380.2,378.6,918.1,800.6,1278.2,884.4,31923.9,491962,81973,2969.1,219.8
31/12/2007,3498.6,179,322,410.5,195.1,713.3,225,2499.5,1512.5,385.7,1116.6,1070.4,1163.8,1165.8,32840.2,502155,84910,4800.4,221.8
31/03/2008,3898.7,280,360.4,543.3,246.1,735,270.4,2499.9,1588.8,391.1,1139.8,1209.6,1566.3,935.1,34516.2,511285,89301,3482.2,223.5
30/06/2008,4552.4,143.4,488.7,519.1,184.7,795.3,210.2,2752.9,1725.9,401.1,1178.3,1180.2,1989.5,1196.1,33892.8,478811,87691,1984.8,230.4
30/09/2008,4109.4,251.3,422.1,660.4,254,673.8,286.1,2267.8,1765.2,463.7,1368.3,1194.4,1915.4,1038.2,32481.4,512582,92910,1655,273.4
31/12/2008,1871.4,292.9,380.9,512.9,292.2,584.2,354.7,1994.8,1647.7,421.2,1144.6,1093.5,1531.6,1401.8,32123.2,528944,93694,2372.6,249.5
31/03/2009,2607.3,248.7,412.3,475.4,143.7,370.5,231.3,1268.7,1113.9,423.9,962.7,1080.7,1309.8,881.2,30879.8,553162,99129,1211.3,251.7
30/06/2009,2416.4,299.1,363.8,505.8,266.7,423.2,231.3,2752.9,1725.9,12.9,497.1,158.7,1583.9,233.6,31531.1,562327,102335,2874.5,267.6
30/09/2009,2427.3,255.8,387.3,361.6,192.8,382.2,171.4,1393,3124,572.2,1095.5,1215.1,1228.7,1465.7,32399.2,611582,107173,1731,311.1
31/12/2009,2559.4,283.6,425,592.2,241.7,552,254.7,802.6,1697.4,588.4,1308.3,1470.1,1031.8,972.4,33287.3,634765,114397,894.8,293.4
31/03/2010,2063.3,342.3,459.5,628.3,151.3,395.7,220.1,1067.3,2773.5,501.3,1140.6,1281.1,1574.1,1232,32277.1,667249,110588,1706.2,292.4
30/06/2010,3208.6,460.9,459.7,544.6,205.4,546.3,160.4,1898.1,4324.3,587.6,1239.5,1461.9,1390.5,1429.9,33694.2,663818,112732,2426.2,309.7
